編號,特效名稱,最高等級,屬性類別,屬性值名稱,屬性值
@stat,,,,,
1,STR,5,,str,Lv
2,INT,5,,int,Lv
3,VIT,5,,vit,Lv
4,AGI,5,,agi,Lv
5,DEX,5,,dex,Lv
6,ATK,5,,atk,Lv*5
7,MATK,5,,matk,Lv*5
8,HP,5,,max_hp,Lv*200
9,MP,5,,max_mp,Lv*10
10,DEF,5,,def,Lv*10
11,MDEF,5,,mdef,Lv*10
12,命中,5,,accuracy,Lv*3
13,迴避,5,,dodge,Lv*3
14,ASPD,5,,aspd,Lv*50
15,CSPD,5,,cspd,Lv*50
16,暴擊率,5,,critical_rate,Lv
17,暴擊傷害,5,,critical_damage,Lv
18,HP自然回復,5,,natural_hp_regen,Lv*15
19,MP自然回復,5,,natural_mp_regen,Lv*5
20,EXP提升,5,,exp_rate,Lv*3
21,寵物EXP提升,5,,pet_exp,Lv*6
22,禁止膽怯,1,,flinch_unavailable,1
23,禁止翻覆,1,,tumble_unavailable,1
24,禁止昏厥,1,,stun_unavailable,1
,,,,,
,,,,,
@special,,,,,
1,戰鬥力量,5,,,"對敵人造成傷害時，2秒內，ATK增加${$stat.atk}。
最多可累積${$stack.max}層。"
,,,stat,atk,Lv*1
,,,stack,,300/Lv
2,戰鬥魔力,5,,,"對敵人造成傷害時，4秒內，MATK增加${$stat.matk}。
最多可累積${$stack.max}層。"
,,,stat,matk,Lv*1
,,,stack,,300/Lv
3,戰鬥詠唱,5,,,"對敵人造成傷害時，6秒內，CSPD增加${$stat.cspd}。
最多可疊加${$stack.max}層。"
,,,stat,cspd,Lv*20
,,,stack,,20
4,精準,5,,,"對敵人造成傷害時，6秒內，命中增加${$stat.accuracy}。
最多可累積${$stack.max}層。"
,,,stat,accuracy,Lv*1
,,,stack,,30
5,暴擊,5,,,"對敵人造成傷害時，3秒內，暴擊率增加${$stat.critical_rate}。
CRT值越高，持續時間越久，最多可累積${$stack.max}層。"
,,,stat,critical_rate,1
,,,stack,,10*Lv
6,工程強化,5,,,"對敵人造成傷害時，20秒內，ATK與MATK增加${$stat.atk}，CSPD增加${$stat.cspd}。
TEC值越高，增加量越多，每10秒發動一次。"
,,,stat,atk,5+5*Lv+TEC/(6-Lv)
,,,,matk,5+5*Lv+TEC/(6-Lv)
,,,,cspd,10+5*TEC/(6-Lv)
,,,,tips,ATK部分無誤。但CSPD部分，TEC255時，1等數值為255，3等數值為529。
7,變速強化,5,,,"對敵人造成傷害時，3秒內，ASPD增加${$stat.aspd}。
最多可疊加${$stack.max}層。"
,,,stat,aspd,Lv*20
,,,stack,,20
8,敏捷身法,5,,,"對敵人造成傷害時，6秒內，迴避增加${$stat.dodge}。
最多可疊加${$stack.max}層。"
,,,stat,dodge,Lv*1
,,,stack,,30
9,破甲之刃,5,,,"對敵人造成傷害時，5秒內，物理貫穿增加${$stat.physical_pierce}%。
發動力${Lv*20}，最多可累積${$stack.max}層。"
,,,stat,physical_pierce,1
,,,stack,,10
10,破甲魔力,5,,,"對敵人造成傷害時，5秒內，魔法貫穿增加${$stat.magic_pierce}%。
發動力${Lv*20}，最多可累積${$stack.max}層。"
,,,stat,magic_pierce,1
,,,stack,,10
11,血之刃,5,,,"對敵人造成傷害時，HP回復${Lv*200+STR}。
STR值越高，回復量越多，每3秒可以發動一次。"
12,血能術,5,,,"對敵人造成傷害時，HP回復${Lv*200+INT}。
INT值越高，回復量越多，每3秒可以發動一次。"
13,靈魂射擊,5,,,"對敵人造成傷害時，MP回復${Lv*2+DEX/(90-15*Lv)}。
DEX值越高，回復量越多，每6秒可以發動一次。"
14,靈魂打擊,5,,,"對敵人造成傷害時，MP回復${Lv*2+AGI/(90-15*Lv)}。
AGI值越高，回復量越多，每6秒可以發動一次。"
15,幸運經驗,5,,,"對敵人造成傷害時，77秒內，獲得EXP增加${$stat.exp_rate}%。
LUK值越高，最大累積層數越多，最多可累積${$stack.max}層。"
,,,stat,exp_rate,Lv*1
,,,stack,,10+LUK/(30-5*Lv)
16,健康屏障,5,,,"對敵人造成傷害時，6秒內，物理屏障與魔法屏障增加${$stat.physical_barrier}。
MEN值越高，增加量越多，最多可累積${$stack.max}層。"
,,,stat,physical_barrier,2*Lv
,,,,magical_barrier,2*Lv
,,,stack,,100
17,詛咒武裝,5,,,"對敵人造成傷害時，3秒內，HP上限減少${$stat.m.max_hp}%，但同時ATK與MATK增加${$stat.atk}。
最多可累積${$stack.max}層。"
,,,stat,max_hp%,-1
,,,,atk,Lv
,,,,matk,Lv
,,,stack,,99
18,疾走力量,5,,,"使用Avoid時，3秒內，ATK增加${$stat.atk}，ASPD增加${$stat.aspd}。
最多可疊加${$stack.max}層。"
,,,stat,atk,Lv*10
,,,,aspd,50+Lv*50
,,,stack,,3
19,疾走防禦,5,,,"使用Avoid時，3秒內，物理抗性與魔法抗性增加${$stat.physical_resistance}%。
最多可疊加${$stack.max}層。"
,,,stat,physical_resistance,Lv*2
,,,,magic_resistance,Lv*2
,,,stack,,3
20,擦擊魔源,5,,,"當對目標命中判定為Graze時，MP回復10。
發動力${Lv*10}（Lv4為50，Lv5為100）。"
21,擦擊精準,5,,,"當對目標命中判定為Graze時，30秒內，命中增加${$stat.accuracy}。
最多可疊加${$stack.max}層。"
,,,stat,accuracy,Lv*20
,,,stack,,5
22,擦擊魔源推進器,5,,,"當對目標命中判定為Graze時，15秒內，MP上限減少${-$stat.max_mp}，但同時近戰威力與遠距離威力提升${$stat.long_range_damage}%，命中增加${$stat.accuracy}。
最多可累積${$stack.max}層。"
,,,stat,max_mp,-(350-50*Lv)
,,,,short_range_damage,1
,,,,long_range_damage,1
,,,,accuracy,60+60*Lv
,,,stack,,3
23,重振力量,5,,,"當對目標命中判定為MISS時，30秒內，ATK增加${$stat.atk}。
最多可疊加${$stack.max}層。"
,,,stat,atk,Lv*10
,,,stack,,10
24,重振魔力,5,,,"當對目標命中判定為MISS時，30秒內，MATK增加${$stat.matk}。
最多可疊加${$stack.max}層。"
,,,stat,matk,Lv*10
,,,stack,,10
25,重振暴擊,5,,,"當對目標命中判定為MISS時，60秒內，暴擊率增加${$stat.critical_rate}。
最多可疊加${$stack.max}層。"
,,,stat,critical_rate,Lv*4
,,,stack,,5
26,重振魔源,5,,,"當對目標命中判定為MISS時，MP回復100。
發動力${Lv*10}（Lv4為50，Lv5為100）。"
27,重振巨力,5,,,當對目標命中判定為MISS時，90秒內，ATK增加${$stat.atk}，暴擊率增加${$stat.critical_rate}，命中減少${-$stat.accuracy}。
,,,stat,atk,Lv*100
,,,,critical_rate,25+25*Lv
,,,,accuracy,-9999
28,閃避攻勢,5,,,"被目標Avoid時，${5+5*Lv}秒內，ATK增加${$stat.atk}。
DEX值越高，增加量越多，每20秒發動一次。"
,,,stat,atk,100
29,閃避魔源,5,,,"被目標Avoid時，MP回復${Lv*20}。
INT值越高，回復量越多，每6秒發動一次。"
30,閃避對策,5,,,被目標Avoid時，12秒內，看穿增加${$stat.anticipate}%。
,,,stat,anticipate,Lv*5
31,格擋魔力,5,,,"被目標Guard時，${5+5*Lv}秒內，MATK增加${$stat.matk}。
DEX值越高，增加量越多，每20秒發動一次。"
,,,stat,matk,50
32,格擋對策,5,,,被目標Guard時，12秒內，破防增加${$stat.guard_break}%。
,,,stat,guard_break,Lv*5
33,格擋治癒,5,,,"被目標Guard時，HP回復${500+500*Lv}。
STR值越高，回復量越多，每6秒發動一次。"
34,復仇力量,5,,,"受到敵人的傷害時，30秒內，ATK增加10/15/30/60/90(Lv.1~Lv.5)。
最多可累積90/60/30/15/10層。"
,,,stat,atk,"[10, 15, 30, 60, 90][Lv-1]"
,,,stack,,"[90, 60, 30, 15, 10][Lv-1]"
35,復仇魔力,5,,,"受到敵人的傷害時，30秒內，MATK增加10/15/30/60/90(Lv.1~Lv.5)。
最多可累積90/60/30/15/10層。"
,,,stat,matk,"[10, 15, 30, 60, 90][Lv-1]"
,,,stack,,"[90, 60, 30, 15, 10][Lv-1]"
36,反擊速度,5,,,受到敵人的傷害時，3秒內，ASPD、CSPD以及行動速度增加${$stat.aspd}%。
,,,stat,aspd,Lv*2
,,,,cspd,Lv*2
,,,,motion_speed,Lv*2
37,反擊狂暴,5,,,受到敵人的傷害時，12秒內，恨意值增加${$stat.aggro}%。
,,,stat,aggro,Lv*10
38,復仇生命,5,,,"受到敵人的傷害時，180秒內，HP上限增加${$stat.max_hp}。
最多可累積${$stack.max}層。"
,,,stat,max_hp,50*2^(Lv-1)
,,,stack,,140-20*Lv
39,復仇魔源,5,,,"受到敵人的傷害時，180秒內，MP上限增加${$stat.max_mp}。
最多可累積${$stack.max}層。"
,,,stat,max_mp,5*2^(Lv-1)
,,,stack,,35-5*Lv
40,復仇武士,5,,,"受到敵人的傷害時，9秒內，拔刀攻擊增加${$stat.unsheathe_attack}。
最多可累積${$stack.max}層。"
,,,stat,unsheathe_attack,100
,,,stack,,Lv*1
41,生命清除,5,,,"受到敵人的傷害時，20秒內，HP上限減少${-$stat.m.max_hp}%，但同時ASPD增加${$stat.aspd}。
最多可累積${$stack.max}層。"
,,,stat,max_hp%,-2^(Lv-1)
,,,,aspd,50*2^(Lv-1)
,,,stack,,5
42,魔源轉換,5,,,"受到敵人的傷害時，MP回復${Lv*1}。
VIT值越高，回復量越多。"
43,機率的光輝,9,,,特性轉移的成功率提升${Lv*10}%。
