id,名稱,顯示公式,連結/條件式,選項,基本公式/條件公式,數值範圍,隱藏選項,文字說明
0,能力點數,,,,,,,
str,STR,,str,,@str,,,力量
dex,DEX,,dex,,@dex,,,靈巧
int,INT,,int,,@int,,,智力
agi,AGI,,agi,,@agi,,,敏捷
vit,VIT,,vit,,@vit,,,耐力
tec,TEC,,,,@tec,1~255,計算結果為0時,技巧
men,MEN,,,,@men,1~255,計算結果為0時,抗性
crt,CRT,,,,@crt,1~255,計算結果為0時,暴擊
luk,LUK,,,,@luk,1~255,計算結果為0時,幸運
0,HP、MP,,,,,,,
max_hp,HP上限,,max_hp,,Math.floor(93+@clv*(127/17+$vit/3)),~99999,,
max_mp,MP上限,,max_mp,,99+@clv+$int/10+@tec,0~2000,,
natural_hp_regen_0,基礎HP自回,,natural_hp_regen,,10+$max_hp*0.04,,永久,
natural_hp_regen,HP自然回復,,natural_hp_regen_s,,$natural_hp_regen_0,,,未處於戰鬥狀態時，每3秒自動回復的HP。坐下時，總回復量加倍。
natural_hp_regen_b,戰時HP回復,,natural_hp_regen_b,,$natural_hp_regen_0,,變數值為0時,戰鬥時，每3秒自動回復的HP，只有點了相關技能才有此效果。
,,,#,"#mul, ""技能加成""",(0+#cvalue)/100,,,
natural_mp_regen_0,基礎MP自回,,natural_mp_regen,,1+$max_mp*0.01,,永久,
natural_mp_regen,MP自然回復,,natural_mp_regen_s,,$natural_mp_regen_0,,,未處於戰鬥狀態時，每3秒自動回復的MP。坐下時，總回復量加倍。
natural_mp_regen_b,戰時MP回復,,natural_mp_regen_b,,$natural_mp_regen_0,,變數值為0時,戰鬥時，每3秒自動回復的MP，只有點了相關技能才有此效果。
,,,#,"#mul, ""技能加成""",(0+#cvalue)/100,,,
attack_mp_recovery,攻擊MP回復,,attack_mp_recovery,,10+Math.floor($max_mp*0.01),,,每次普通攻擊回復的MP量。
,,,@dual_sword,#tvalue,100,,,
equivalenthp_physical,等效HP(物理),,,,"$max_hp/resultValue(""reduce_dmg_physical"")*100",,,該角色能承受的最大物理傷害值，用以評估角色的物理承傷能力。僅考慮DEF、物理抗性、精鍊減傷。
equivalenthp_magic,等效HP(魔法),,,,"$max_hp/resultValue(""reduce_dmg_magic"")*100",,,該角色能承受的最大魔法傷害值，用以評估角色的魔法承傷能力。僅考慮MDEF、魔法抗性、精鍊減傷。
,,,,,,,,
,,,,,,,,
0,物理攻擊,,,,,,,
atk,ATK,,atk,,,,,面板上顯示的ATK。當拔刀劍發動技能「雙手合持」所述的「暴擊傷害提升」時，此項數值變為1.5倍（不顯示於面板）。
,,,#,"""裝備能力""",$atk_up_str+$atk_up_dex+$atk_up_int+$atk_up_agi+$atk_up_vit-$atk_down_str-$atk_down_dex-$atk_down_int-$atk_down_agi-$atk_down_vit,,,
,,,@sub.magic_device,#mvalue,-15,,,
,,,@1h_sword,"""STR×2+DEX×2""",2*$dex+2*$str,,,
,,,@2h_sword,"""STR×3+DEX×1""",$dex+3*$str,,,
,,,@bow,"""DEX×3+STR×1""",3*$dex+$str,,,
,,,@bow,"""箭矢攻擊力""",@arrow.atk,,,
,,,@bowgun,"""DEX×4""",4*$dex,,,
,,,@bowgun,"""箭矢攻擊力""",@arrow.atk/2,,,
,,,@staff,"""STR×3+INT×1""",$int+3*$str,,,
,,,@magic_device,"""INT×2+AGI×2""",2*$int+2*$agi,,,
,,,@knuckle,"""AGI×2+DEX×0.5""",0.5*$dex+2*$agi,,,
,,,@dual_sword,"""DEX×2+STR+AGI""",2*$dex+$str+$agi,,,
,,,@halberd,"""STR×2.5+AGI×1.5""",1.5*$agi+2.5*$str,,,
,,,@katana,"""DEX×2.5+STR×1.5""",2.5*$dex+1.5*$str,,,
,,,@main.none,"""1+STR""",1+$str,,,
,,,#,"""武器攻擊力""",$weapon_atk,,,
,,,#,"""角色等級""",@clv,,,
,,,@sub.magic_device,"#cvalue, ""雙重提供""","Math.max(Math.min(Math.max(0,$matk_0-$atk_0)*stat('dual_bringer_efficiency'),1)*(($matk_0-$atk_0)*stat('dual_bringer_efficiency')*stat('dual_bringer_penalty')/10000-$atk_0*(1-stat('dual_bringer_penalty')/100)),0)",,,
atk_0,計算用ATK,,atk,,,,永久,魔劍atk計算用
,,,#,"""裝備能力""",$atk_up_str+$atk_up_dex+$atk_up_int+$atk_up_agi+$atk_up_vit-$atk_down_str-$atk_down_dex-$atk_down_int-$atk_down_agi-$atk_down_vit,,,
,,,@sub.magic_device,#mvalue,-15,,,
,,,@1h_sword,"""STR×2+DEX×2""",2*$dex+2*$str,,,
,,,@2h_sword,"""STR×3+DEX×1""",$dex+3*$str,,,
,,,@bow,"""DEX×3+STR×1""",3*$dex+$str,,,
,,,@bow,"""箭矢攻擊力""",@arrow.atk,,,
,,,@bowgun,"""DEX×4""",4*$dex,,,
,,,@bowgun,"""箭矢攻擊力""",@arrow.atk/2,,,
,,,@staff,"""STR×3+INT×1""",$int+3*$str,,,
,,,@magic_device,"""INT×2+AGI×2""",2*$int+2*$agi,,,
,,,@knuckle,"""AGI×2+DEX×0.5""",0.5*$dex+2*$agi,,,
,,,@dual_sword,"""DEX×2+STR+AGI""",2*$dex+$str+$agi,,,
,,,@halberd,"""STR×2.5+AGI×1.5""",1.5*$agi+2.5*$str,,,
,,,@katana,"""DEX×2.5+STR×1.5""",2.5*$dex+1.5*$str,,,
,,,@main.none,"""1+STR""",1+$str,,,
,,,#,"""武器攻擊力""",$weapon_atk,,,
,,,#,"""角色等級""",@clv,,,
,,,,,,,,
sub_atk,副手ATK,,atk,,0,,計算結果為0時,雙劍特有。副手ATK會乘上副手倍率後，加入技能ATK的計算。
,,,@dual_sword,#base,,,,
,,,,,,,,
,,,@dual_sword,"""副手武器攻擊力""",$sub_weapon_atk,,,
,,,@dual_sword,"""AGI×3+STR×1""",3*$agi+$str,,,
,,,@dual_sword,"""角色等級""",@clv,,,
,,,,,,,,
sub_stability,副手倍率,%,stability,,0,0~100,計算結果為0時,雙劍特有。會影響副手ATK反映到技能ATK的比例。
,,,@dual_sword,#base,,,,
,,,@dual_sword,"""STR×0.06+AGI×0.04""",$str*0.06+$agi*0.04,,,
,,,@dual_sword,"""副手基礎穩定÷2""",@sub.stability/2,,,
dual_sword_skill_atk,雙劍技能ATK,,,,0,,計算結果為0時,雙劍特有。雙劍技能中的攻擊技能在計算傷害時，公式中的ATK會用此項目進行計算。
,,,@dual_sword,#base,,,,
,,,@dual_sword,"""主手ATK""",$atk,,,
,,,@dual_sword,"""副手ATK×副手倍率""",Math.floor($sub_atk*$sub_stability/100),,,
weapon_atk,武器攻擊力,,weapon_atk,,Math.floor($weapon_base_atk*(100+#mvalue)/100)+Math.floor($weapon_base_atk*(@main.refining*@main.refining)/100)+@main.refining+#cvalue,0~,,
weapon_base_atk,主手武器基礎攻擊力,,weapon_base_atk,,"@main.atk*(100+Math.min(50,#mvalue))/100+#cvalue",0~,永久,
sub_weapon_atk,副手武器攻擊力,,weapon_atk,,,,永久,*主動技能的武器攻擊力加成不影響副手，程式已應對。
,,,@dual_sword,,Math.floor(@sub.atk*(100+#mvalue)/100)+Math.floor(@sub.atk*(@sub.refining*@sub.refining)/200)+@sub.refining+#cvalue,,,
physical_pierce,物理貫穿,%,physical_pierce,,#cvalue,~100,變數值為0時,可無視對手一定比例的DEF，數值為負時將增加對手防禦。
stability_main,穩定率(隱藏),%,stability_main,,#cvalue,,永久,計算用能力。
stability,穩定率,%,stability,,,1~100,,最終物理傷害將在（100%~穩定%）之間，以1%為間距浮動，超出100%的部分無效。
,,,#,"#cvalue, ""狂戰士之怒""",$stability_main,,,
,,,@1h_sword,"""DEX×0.075+STR×0.025""",$dex*0.075+$str*0.025,,,
,,,@2h_sword,"""DEX×0.1""",$dex*0.1,,,
,,,@bow,"""DEX×0.05+STR×0.05""",$dex*0.05+$str*0.05,,,
,,,@bow,"#cvalue, ""箭矢穩定""",@arrow.stability,,,
,,,@bowgun,"""STR×0.05""",$str*0.05,,,
,,,@bowgun,"#cvalue, ""箭矢穩定÷2""",@arrow.stability/2,,,
,,,@staff,"""STR×0.05""",$str*0.05,,,
,,,@magic_device,"""DEX×0.1""",$dex*0.1,,,
,,,@knuckle,"""DEX×0.025""",$dex*0.025,,,
,,,@dual_sword,"""DEX×0.075+STR×0.025""",$dex*0.075+$str*0.025,,,
,,,@halberd,"""DEX×0.05+STR×0.05""",$dex*0.05+$str*0.05,,,
,,,@katana,"""STR×0.075+DEX×0.025""",$dex*0.025+$str*0.075,,,
,,,@main.none,"""1+DEX÷2.85""",$dex/2.85+1,,,
,,,#,"""武器基礎穩定""",@main.stability,,,
critical_rate,暴擊率,,critical_rate,,25+Math.floor(@crt/3.4),0~,,發生暴擊的機率。超過100的部分可抵消部分BOSS的抗暴擊能力。
,,,@dual_sword,#mvalue,-55,,,
critical_damage_0,(暴傷計算用),%,critical_damage,,"Math.max(150+$str/5,150+($str+$agi)/10)",0~,永久,
critical_damage_skill,(不受衰減影響的暴傷),%,critical_damage_skill,,,,永久,
critical_damage,暴擊傷害,%,critical_damage,,"Math.max(150+$str/5,150+($str+$agi)/10)",0~,,發生暴擊時的傷害倍率。當暴擊傷害達到300%後，後續增加的暴擊傷害效果將減半，總AGI>STR時，計算公式將納入AGI。
,,,#,"#cvalue, ""暴傷300以上效果減損""","-Math.max(0,($critical_damage_0-300)/2)",,,
,,,#,"#cvalue, ""特殊技能提供爆傷""",$critical_damage_skill,,,
0,魔法攻擊,,,,,,,
matk,MATK,,matk,,,,,面板上顯示的MATK。
