ID,條件,耗潛(常數),上限(常數),額外上限(常數),耗潛(倍率),上限(倍率),額外上限(倍率),單位值(常數),單位值(倍率),素材類型,素材耗量(常數),素材耗量(倍率),耗潛變化門檻(常數),耗潛變化門檻(倍率)
,0,強化能力數值,,,,,,,,,,,,
str,,5,,CLv/10,10,,,,,獸品,,,,
dex,,5,,CLv/10,10,,,,,藥品,,,,
int,,5,,CLv/10,10,,,,,木材,,,,
agi,,5,,CLv/10,10,,,,,布料,,,,
vit,,5,,CLv/10,10,,,,,金屬,,,,
,0,強化HP、MP,,,,,,,,,,,,
max_hp,,3,20,CLv/10,10,,CLv/30,10|160,,金屬,,,,
max_mp,,6,15,CLv/20::0,,,,10,,木材,,,,
natural_hp_regen,,5,,CLv/10,10,,,,,金屬,,,,
,主手武器,10,,,20,,,,,,,,,
natural_mp_regen,,10,,CLv/20,20,,,,,木材,,,,
,主手武器,20,,,40,,,,,,,,,
,0,強化攻擊力,,,,,,,,,,,,
atk,,3,20,CLv/10,10,,CLv/20,,,獸品,,,,
,身體裝備,6,,,20,,,,,,,,,
matk,,3,20,CLv/10,10,,CLv/20,,,木材,,,,
,身體裝備,6,,,20,,,,,,,,,
physical_pierce,,20,,CLv/25,,,,,,獸品,,,,
,身體裝備,40,,,,,,,,,,,,
magic_pierce,,20,,CLv/25,,,,,,木材,,,,
,身體裝備,40,,,,,,,,,,,,
stability,,20,,CLv/60,,,,,,藥品,,,,
,0,強化防禦力,,,,,,,,,,,,
def,,3,20,CLv/10,10,,CLv/30,1|10,,金屬,,,,
,主手武器,6,,,20,,,,,,,,,
mdef,,3,20,CLv/10,10,,CLv/30,1|10,,金屬,,,,
,主手武器,6,,,20,,,,,,,,,
physical_resistance,,10,,CLv/30,,,,,,金屬,,,,
,主手武器,20,,,,,,,,,,,,
magic_resistance,,10,,CLv/30,,,,,,木材,,,,
,主手武器,20,,,,,,,,,,,,
reduce_dmg_foe_epicenter,,6,0,CLv/10::0,,,,,,金屬,15,,,
,主手武器,12,,,,,,,,,,,,
reduce_player_epicenter,,6,0,CLv/10::0,,,,,,金屬,15,,,
,主手武器,12,,,,,,,,,,,,
reduce_dmg_straight_line,,6,0,CLv/10::0,,,,,,獸品,15,,,
,主手武器,12,,,,,,,,,,,,
reduce_dmg_charge,,6,0,CLv/10::0,,,,,,獸品,15,,,
,主手武器,12,,,,,,,,,,,,
reduce_dmg_meteor,,4,0,CLv/10::0,,,,,,藥品,10,,,
,主手武器,8,,,,,,,,,,,,
reduce_dmg_bullet,,4,0,CLv/10::0,,,,,,木材,10,,,
,主手武器,8,,,,,,,,,,,,
reduce_dmg_bowling,,4,0,CLv/10::0,,,,,,木材,10,,,
,主手武器,8,,,,,,,,,,,,
reduce_dmg_floor,,4,0,CLv/10::0,,,,,,藥品,10,,,
,主手武器,8,,,,,,,,,,,,
,0,強化命中,,,,,,,,,,,,
accuracy,,10,,CLv/15,20,,CLv/55,1|2,,藥品,,,,
,身體裝備,20,,,40,,,,,,,,,
,0,強化迴避,,,,,,,,,,,,
dodge,,10,,CLv/15,20,,CLv/55,1|2,,布料,,,,
,主手武器,20,,,40,,,,,,,,,
,0,強化速度,,,,,,,,,,,,
aspd,,1,20,CLv/10,1,20,CLv/55,1|16,,布料,1.5,,,
cspd,,1,20,CLv/10,1,20,CLv/55,1|16,,藥品,1.5,,,
,0,強化暴擊,,,,,,,,,,,,
critical_rate,,1,20,CLv/10::0,1,20,CLv/10::0,,,魔素,,,,
critical_damage,,3,20,CLv/30::0,10,,CLv/55,,,魔素,,,,
,0,強化屬性,,,,,,,,,,,,
stronger_against_fire,,5,,CLv/30,,,,,,魔素,,,,
,身體裝備,10,,,,,,,,,,,,
stronger_against_water,,5,,CLv/30,,,,,,魔素,,,,
,身體裝備,10,,,,,,,,,,,,
stronger_against_earth,,5,,CLv/30,,,,,,魔素,,,,
,身體裝備,10,,,,,,,,,,,,
stronger_against_wind,,5,,CLv/30,,,,,,魔素,,,,
,身體裝備,10,,,,,,,,,,,,
stronger_against_light,,5,,CLv/30,,,,,,魔素,,,,
,身體裝備,10,,,,,,,,,,,,
stronger_against_dark,,5,,CLv/30,,,,,,魔素,,,,
,身體裝備,10,,,,,,,,,,,,
fire_resistance,,5,,CLv/15,,,,,,魔素,,,,
,主手武器,10,,,,,,,,,,,,
water_resistance,,5,,CLv/15,,,,,,魔素,,,,
,主手武器,10,,,,,,,,,,,,
earth_resistance,,5,,CLv/15,,,,,,魔素,,,,
,主手武器,10,,,,,,,,,,,,
wind_resistance,,5,,CLv/15,,,,,,魔素,,,,
,主手武器,10,,,,,,,,,,,,
light_resistance,,5,,CLv/15,,,,,,魔素,,,,
,主手武器,10,,,,,,,,,,,,
dark_resistance,,5,,CLv/15,,,,,,魔素,,,,
,主手武器,10,,,,,,,,,,,,
,0,特殊強化,,,,,,,,,,,,
ailment_resistance,,20,,CLv/55,,,,,,魔素,,,,
guard_regenerate,,20,,CLv/55::0,,,,,,魔素,,,,
guard_power,,20,,CLv/55::0,,,,,,魔素,,,,
evasion_regenerate,,20,,CLv/55::0,,,,,,魔素,,,,
aggro,,6,15,CLv/20::0,,,,,,魔素,,,15,
,0,屬性覺醒,weapon-only,,,,,,,,,,,
element_fire,,100,1,,,,,,,魔素,150,,,
,原有屬性,10,,,,,,,,,,,,
element_water,,100,1,,,,,,,魔素,150,,,
,原有屬性,10,,,,,,,,,,,,
element_earth,,100,1,,,,,,,魔素,150,,,
,原有屬性,10,,,,,,,,,,,,
element_wind,,100,1,,,,,,,魔素,150,,,
,原有屬性,10,,,,,,,,,,,,
element_light,,100,1,,,,,,,魔素,150,,,
,原有屬性,10,,,,,,,,,,,,
element_dark,,100,1,,,,,,,魔素,150,,,
,原有屬性,10,,,,,,,,,,,,
