(英文)裝備名稱
1st Anniv Sword









1st Anniv Sword II









1st Anniv Sword III









2nd Anniv Sword









2nd Anniv Sword II









2nd Anniv Sword III









2nd Anniv Sword IV









2nd Anniv Sword V









3rd Anniv Sword









3rd Anniv Sword II









3rd Anniv Sword III









3rd Anniv Sword IV









3rd Anniv Sword V









3rd Anniv Sword VI










3rd Anniv Sword VII










Accordion-fold Sword




Adel Sword





Adel Sword








Black Sword of Delusion








Black Sword of Delusion






Blitz Sword








Blitz Sword








Brutal Dragon Sword




Brutal Dragon Sword




Brutal Dragon Sword







Butcher's Knife






Cake Knife







Calibur








Calibur








Chicken Sword





Clarity Rose







Clarity Rose







Clarity Rose










Cone Sword










Cone Sword II










Cone Sword III










Crescent Axe







Dark General's Sword








Dark General's Sword











Dia Sword








Elfin Sword










Elfin Sword










Elfin Sword










Festival Sword






Fluck Sword










Fluck Sword







Gladius







Gladius







Hero Sword (Pom)







Icebrand Glacier











Ilwoon



















Ilwoon










Imperial Sword







Imperial Sword










Indigo Sword









Indigo Sword















Jupiter Sword




Jupiter Sword II




Leve Fang











Leve Fang








Lil Empress Sword







Lil Empress Sword










Longsword







Maton Saber










Maton Saber







Phyto Blade






Proto Clarity Rose









Phyto Blade









Rapier









Rapier









Relic Sword






Sabre








Sabre








Sacred Sword Xmas





Sakura Kodachi








Sakura Kodachi










Sakura Lantern Sword








Scimitar









Scimitar






Wood Sword




Shortsword






Shortsword





Soldier Sword









Soldier Sword












Sword of Sin







Sword of Sin









Tomahawk





Toy Hammer




Wind Rapier












Wind Rapier









Zahhak Sword












Zahhak Sword









1st Anniv Greatsword









1st Anniv Greatsword III









1st Anniv Greatsword II









2nd Anniv Greatsword









2nd Anniv Greatsword II









2nd Anniv Greatsword III









2nd Anniv Greatsword IV









2nd Anniv Greatsword V









3rd Anniv Greatsword









3rd Anniv Greatsword II









3rd Anniv Greatsword III









3rd Anniv Greatsword IV









3rd Anniv Greatsword V









3rd Anniv Greatsword VI










3rd Anniv Greatsword VII










Anemos Blade









Anemos Blade






Berserker Blade







Berserker Blade









Bone Blade








Bone Blade












Boss Gob Sword





Boss Gob Sword




Carbuncle Edge





Choco Banana Blade





Chocolate Eater






Curved Edge









Curved Edge









Deseperanza
















Deseperanza










Desert Anfel







Desert Anfel










Dia Edge








Flamberge

















Flamberge








Flame Blade









Flame Blade












Fortis Blade






Fortis Blade













Frostbrand Rime











Golden Greatsword







Great Sword













Great Sword







Hammerfall








Hammerfall











Heated Pumpkin Axe






Heavy Blade




Heavy Blade











Integridar






Integridar






Iron Blade






Iron Exoskeleton Sword






Iron Exoskeleton Sword









Lezvie






Lil Empress Greatsword







Lil Empress Greatsword










Longblade








Longblade












Oni Iron Club





Order Espada






Order Espada









Sakura Edge









Sakura Edge










Sakura Lantern Greatsword








Sealing Blade





Sealing Blade























Sinergatis







Sinergatis










Soleil The Heat Sword









Steel Machine Greatsword












Steel Machine Greatsword









Stubborn Hammer





Volcanic Sword




Volcanic Sword








Waldfee










Waldfee







White Chocolate Eater





Wind Plunder







Wind Plunder










Zel Blade











Zel Blade








Zweihander











Zweihander








2nd Anniv Brooch

2nd Anniv Hat








2nd Anniv Headband







3rd Anniv Hat








3rd Anniv Headband








Adel Cape






Adel Cape






Adventurer's Hat




Adventurer's Knapsack
Afro Wig





Agios' Hat






Akaku Flower







Assassin Mask






Assassin Waistcloth











Assassin Waistcloth





Fruit Cap





Fruit Cap





Aunigma







Aunigma






Bandage Eyepatch






Spiky Bandana











Spiky Bandana




Bat Waist Cape






Beak Mask





Beak Mask





Bear Hat





Beast Collar





Belt Eyepatch





Belt Eyepatch





Belt Pouch




Belt Pouch



Berserker Mask













Big Boa Hood









Big Boa Hood








Xmas Ribbon





Bonnet







Bonnet




Book Holder






Brigan Helm







Brutal Dragon Cape





Brutal Dragon Cape





Brutal Dragon Crown





Brutal Dragon Crown





Bunny Ears






Bunny Ear Hood






Butterfly Ribbon




Butterfly Ribbon





Calm Earring





Camouflage Scarf





Camouflage Scarf





Candy Bouquet





Candy Ears







Candy Hairpin





Cape




Cape





Cara Tiara



Caro Crown



Carp Streamer Hat






Cat-Ear Hood






Cat Hairband





Cat Tail







Cat-Ear Hood




Cersier's Hair Ornament





Charm Belt






Charm Belt












Cheek Rouge






Cherries In Mouth





Chocolate Beret






Chocolate Headband




Chocolate Pretzel





Chocolate Scarf






Circle of Order





Circlet





Circlet





Coffee Cup Hat





Colon Earrings





Colon Met








Colon Met




Colon Met




Cone Face





Cone Hat





Cooking Apron






Cooking Apron









Crystal Cluster




























Crystal Earrings










Crystal Earrings




Crystal Earrings



Cupid Potum





Curled Horns




Curled Horns







Cursed Hood of Death








Dark Hood




Dawn Hat




Dawn Hat




Dawn Hat




Devil Circlet





Devil Circlet








Devil Circlet





Devil Half Mask





Devil Half Mask





Devil Hood






Dog Ears





Dog Ears





Dragon Ears





Dragon Horns




Ear Cuff











Ear Cuff





Ear Muff




Ear Muff




Ear Muff




Easter Balloons





Easter Bunny






Easter Eggs































































































































































































Eggshell Hat






Eggshell Pants






Elven Ear Cuffs






Elven Ear Cuffs






Explorer's Hat
Eyepatch






Eyepatch (Cat)




Fairy Hat







Fake Mustache




Feather




Feather






Feather Cape






Feather Hat






Feather Hat






Fighter Chignon Cap





Fighter Chignon Cap





Finpen Mask






Fish Head






Shaved Ice Hat





Float







Flower Headband




Flower Headband




Flower Headband




Fluffy Tail





Fluffy Tail









Forehead Guard









Forehead Guard






Forehead Protector














Forehead Protector





Forehead Protector

































Forest Wolf Cape






Fountain Hat




Fox Ears





Fresh Scarf









Fresh Scarf






Frill Cape






Frog Hat


Fukumasu Potum





Fur Cape





