名稱（英文）,文字
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
Flinch,
,
,
Tumble,
,
Stun,
,
Knock Back,
,
,
Sleep,
,
,
,
,
Paralysis,
,
,
,
Slow,
,
,
Stop,
,
,
Lethargy,
,
,
,
Blind,
,
,
,
,
,
Dizzy,
,
,
Ignite,
,
,
,
Venom,
,
,
,
,
,
,
,
Dazzled,
,
,
,
,
,
Freeze,
,
,
,
Armor Break,
,
,
,
Fear,
,
,
,
,
Bleed,
,
,
,
,
,
Weaken,
,
,
,
,
Mana Explosion,
,
,
,
,
,
,
Fatigue,
,
,
,
Petrified,
,
,
,
Invincible,
,
,
,
,
,
,
,
,
,
,
,
,
Consecutive,
,
,
Mind's Eye,
,
,
,
,
Save,
,
,
,
,
Swift,
,
Smite,
,
,
Tenacity,
,
Invincible,
,
,
,
Bloodsucker,
,
,
((!Sap))：Consumes((MaxHP×(10-Combo Position)%))HP，Increased skill damage for((10+Combo Position))%。,
,
Tough,
,
Reflection,
,
,
Combo Position,
,
Dual Swords Characteristics Description,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
MP cost halves,
,
,
,
,
Immediate Kill,
,
,
,
,
,
,
Graze,
,
,
,
,
Perfect Aim,Effect
,"When the skill with this effect hits a enemy, it will definitely not happen ((!MISS)) and #Graze ."
,Evasion and #invincible  will still occur.
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
magic crt conversion rate,
