名稱(日文),文字
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
コントロール状態異常,用語説明
,動作が中断し、一定時間操作できない異常状態の総称。含む#ひるむ 、#転倒 、#気絶 、#逼退 。
怯み,コントロール状態異常
,一瞬の間行動不可にする，出現している部位破壊(1秒)。
,
,
転倒,コントロール状態異常
,
気絶,コントロール状態異常
,
,
,
,
,
,
,（額外效果）プレイヤー：每3秒少し MP 回復する。
,
,
麻痺,
,
,
,
鈍足,
,
,
,
,
,
脱力,
,
,
,
暗闇,
,
,
,
,
,
眩暈,状態異常
,Avoid、Guardを0％にする；対象がボスの場合，効果は半減する。
,
発火,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
凍結,
,
,
,
,
,
,
,
恐怖,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
疲労,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
レジスタレット,用語説明
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,用語説明
,
,
,素手：1
,片手剣：2(3)
,両手剣：3(4)
,弓：10(8、9、12)
,銃：8(4、7、10、12)
,手甲：1.5(2)
,杖：2(4)
