遊戲內名稱（簡中）,公式
STR,
DEX,
INT,
AGI,
VIT,
HP上限,
MP上限,$t$s$v
HP自然回复,
HP自然回复,
战时HP回复,
MP自然回复,
MP自然回复,
战时MP回复,
攻击MP回复,
ATK,
(双剑)副手ATK,
MATK,
武器ATK,
武器基础ATK,
武器攻击距离,$t$s$1dm
物理贯穿,
魔法贯穿,
DEF,
MDEF,
稳定率,
稳定率,
魔法稳定率,
物理抗性,
魔法抗性,
命中,
回避,
攻击速度,
咏唱速度,
暴击率,
暴击伤害,
暴击伤害,
行动速度,
移动速度,
拔刀攻击,$t$s$v
拔刀攻击,
近距离威力,
远距离威力,
总伤害,
最终伤害,
异常抗性,
阻挡率,
阻挡回复,
阻挡力,
闪躲率,
闪躲回复,
闪躲次数上限,$t$s$v
恨意值,
复活时间,
掉宝率,
对无属性伤害,
对火属性伤害,
对水属性伤害,
对地属性伤害,
对风属性伤害,
对光属性伤害,
对暗属性伤害,
抗无属性,
抗火属性,
抗水属性,
抗地属性,
抗风属性,
抗光属性,
抗暗属性,
物理屏障,$t$s$v
魔法屏障,$t$s$v
百分比屏障,
屏障速度,
反弹伤害,
物理追击,$t$v$u
魔法追击,$t$v$u
看穿,$t$v$u
破防,$t$v$u
封印胆怯,$t
封印翻覆,$t
封印昏厥,$t
反作用伤害,$t$s$2d$u
获得EXP,
火属性,
水属性,$t
地属性,$t
风属性,$t
光属性,$t
暗属性,$t
魔属性,$t
绝对回避,
绝对命中,
地面伤害减轻,
陨石伤害减轻,
范围伤害减轻,
敌方周围伤害减轻,
贴地伤害减轻,
子弹伤害减轻,
直线伤害减轻,
冲撞伤害减轻,
爆炸减轻,
吸引减轻,
ATK提升 (STR),ATK提升(STR$v%)
ATK提升 (DEX),ATK提升(DEX$v%)
ATK提升 (INT),ATK提升(INT$v%)
ATK提升 (AGI),ATK提升(AGI$v%)
ATK提升 (VIT),ATK提升(VIT$v%)
MATK提升 (STR),MATK提升(STR$v%)
MATK提升 (DEX),MATK提升(DEX$v%)
MATK提升 (INT),MATK提升(INT$v%)
MATK提升 (AGI),MATK提升(AGI$v%)
MATK提升 (VIT),MATK提升(VIT$v%)
ATK下降 (STR),ATK下降(STR$v%)
ATK下降 (DEX),ATK下降(DEX$v%)
ATK下降 (INT),ATK下降(INT$v%)
ATK下降 (AGI),ATK下降(AGI$v%)
ATK下降 (VIT),ATK下降(VIT$v%)
MATK下降 (STR),MATK下降(STR$v%)
MATK下降 (DEX),
MATK下降 (INT),
MATK下降 (AGI),
MATK下降 (VIT),
无敌急救 (s),
宠物获得EXP,
道具冷却,
技能常数,
法术暴击转化率,
法术暴伤转化率,
普通攻击倍率,
普通攻击常数,
晶石粉末掉落量,
总技能倍率,
技能倍率,
擦伤惩罚缓和,
法术额外属性伤害,
异常闪躲,
阻挡性能基础值,
阻挡回复基础值,
闪躲回复基础值,
#VALUE!,
双重提供技能效率,
