名稱,屬性分類,屬性名稱,屬性值1,屬性值2
0,0,單次回復,,
1,0,合成類(通常),,
回復劑I,heal,hp,250,
,obtain,type,synthesist,
,recipe,cost,50,
,,materials,"花蜜#1,藥品#25",
,,set,5,
,,item_level,5,
,,item_difficulty,10,
回復劑II,heal,hp,500,
,obtain,type,synthesist,
,recipe,cost,150,
,,materials,"花蜜#2,藥品#50",
,,set,5,
,,item_level,5,
,,item_difficulty,10,
回復劑III,heal,hp,1000,
,obtain,type,synthesist,
,recipe,cost,275,
,,materials,"花蜜#4,藥品#100",
,,set,5,
,,item_level,5,
,,item_difficulty,10,
回復劑IV,heal,hp,2000,
,obtain,type,synthesist,
,recipe,cost,400,
,,materials,"花蜜#8,藥品#200",
,,set,5,
,,item_level,5,
,,item_difficulty,10,
回復劑V,heal,hp,4000,
,obtain,type,synthesist,
,recipe,cost,525,
,,materials,"花蜜#16,藥品#400",
,,set,5,
,,item_level,5,
,,item_difficulty,10,
回復劑VI,heal,hp,7000,
,obtain,type,synthesist,
,recipe,cost,650,
,,materials,"花蜜#28,藥品#700",
,,set,5,
,,item_level,5,
,,item_difficulty,10,
回復劑VII,heal,hp,11000,
,obtain,type,synthesist,
,recipe,cost,575,
,,materials,"花蜜糖漿#2,藥品#900",
,,set,5,
,,item_level,5,
,,item_difficulty,10,
回復劑VIII,heal,hp,16000,
,obtain,type,raid,
,,name,七周年ex,
,,map,七周年競技場,
,obtain,type,boss,
,,name,黑暗貝莉(地獄),
,,map,璀璨小鎮．中央廣場,
,,,,
,,,,
,,,,
,,,,
1,1,合成類(活動),,
,,,,
,,,,
,,,,
,,,,
1,2,掉落(通常),,
救難食品,heal,hp,1000,
,obtain,type,mobs,
,,name,,
,,map,,
青蘋果,heal,hp,300,
,obtain,type,mobs,
,,name,蘋果,
,,map,流浪者平原,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,2,掉落(活動),,
波姆餅乾,heal,mp,150,
,obtain,type,boss,
,,name,勇者波多姆(DL下載活動),
,,map,索菲亞政廳,
味噌茄子,heal,hp,10000,
,obtain,type,boss,
,,name,茄龍歐瓦比昂,
,,map,萊卡平原(秋季活動限定),
茄子田樂燒,heal,mp,100,
,obtain,type,boss,
,,name,茄龍歐瓦比昂,
,,map,萊卡平原(秋季活動限定),
,,,,
蝙蝠糖,heal,mp,100,
,obtain,type,mobs,
,,name,窟蝠,
,,map,利蘇斯山谷(萬聖節第八章),
小鼠餅乾,heal,hp,5000,
,extra,auto,1,
,obtain,type,mobs,
,,name,萬聖樹精,
,,map,利蘇斯山谷(萬聖節第八章),
波姆波姆燒,heal,hp,4000,
,,mp,40,
,obtain,type,box,
,,name,正月BOX,
,,map,壓歲錢戰鬥,
波姆卡斯特拉蛋糕,heal,hp,15%,
,obtain,type,box,
,,name,正月BOX,
,,map,壓歲錢戰鬥,
,,,,
,,,,
0,1,HP增加類,,
1,0,合成類(通常),,
強身藥,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
1,1,合成類(活動),,
鹽烤秋刀魚,stats,max_hp,1000,
,,natural_hp_regen,100%,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,650,
,,materials,秋色景物#10,
,,item_level,0,
,,item_difficulty,1,
,obtain,type,mobs,
,,name,柿子怪,
,,map,平原地圖,
,,,,
,,,,
,,,,
,,,,
1,2,掉落(通常),,
油豆腐,stats,max_hp,1%,
,,accuracy,15,
,duration,time,10:00,
,obtain,type,mobs,
,,name,?,
,,map,xx莊園,
黑烤沼主,stats,max_hp,4000,
,duration,time,20:00,
,obtain,type,boss,
,,name,內吉木領主,
,,map,內吉木沼澤,
水煮龍蝦,stats,max_hp,5000,
,,max_mp,-100,
,duration,time,10:00,
,obtain,type,mobs,
,,name,龍蝦,
,,map,蘇瑪洞窟,
,,,,
,,,,
,,,,
,,,,
,,,,
1,3,掉落(活動),,
龍肉排,stats,max_hp,1500,
,,aspd,250,
,duration,time,30:00,
,obtain,type,box,
,,name,新郎寶箱,
,,event,婚禮活動,
糖霜餅乾,stats,max_hp,1500,
,,max_mp,200,
,duration,time,30:00,
,obtain,type,mobs,
,,name,,
,,event,萬聖節活動,
茄子天婦羅,stats,max_hp,1000,
,,exp_rate,10%,
,duration,time,30:00,
,obtain,type,boss,
,,name,茄龍歐瓦比昂,
,,map,萊卡平原(秋季活動限定),
,,,,
,,,,
0,2,HP回復類,,
1,0,合成類(通常),,
,,,,
1,1,合成類(活動),,
,,,,
1,2,掉落(通常),,
,,,,
1,3,掉落(活動),,
,,,,
,,,,
,,,,
,,,,
淨手舍,heal,hp,1%,
,duration,time,5:00,
,obtain,type,box,
,,name,淨手舍,
,,map,阿梵九蓮神社,
,,,,
,,,,
,,,,
0,3,MP增加類,,
1,0,合成類(通常),,
,,,,
1,1,合成類(活動),,
金黃栗子泥,stats,max_mp,200,
,,natural_mp_regen,100%,
,duration,time,30:00,
,obtain,type,synthesist,
,recipe,cost,650,
,,materials,秋色景物#10,
,,item_level,0,
,,item_difficulty,1,
,obtain,type,mobs,
,,name,柿子怪,
,,map,平原地圖,
,,,,
1,2,掉落(通常),,
藍白色果凍,stats,max_mp,100,
,duration,time,10:00,
,obtain,type,mobs,
,,name,藍色果凍,
,,map,寇達象丘,
,,,,
,,,,
