編號,托環名稱,取得關卡,等級上限,晶石粉末(同),晶石粉末(不同),類型/技能ID,屬性名稱,屬性值
@stat,,,,,,,,
1,提升物理攻擊,,30,10,,atk,,Lv
2,提升魔法攻擊,,30,10,,matk,,Lv
3,提升HP上限,,100,1,,max_hp,,Lv*10
4,提升MP上限,,100,1,,max_mp,,Lv
5,提升物理防禦,,50,2,,def,,Lv
6,提升魔法防禦,,50,2,,mdef,,Lv
7,提升命中,,10,20,,accuracy,,Lv
8,提升迴避,,10,20,,dodge,,Lv
9,提升攻擊速度,,100,2,,aspd,,Lv
10,提升詠唱速度,,100,2,,cspd,,Lv
@special,,,,,,,,
1,減輕追擊,"150,250",20,7,75,,,陷入膽怯、翻覆或昏厥等無法行動狀態下時，所造成的傷害減少${Lv*1}%。
2,猛毒回復,"30,50",30,5,,,,遭受由猛毒造成的傷害時，有${Lv*1}%機率解除猛毒狀態。
3,燃燒的鬥志,"150,230",10,15,,,,遭受由著火造成的傷害時，可回復自身的攻擊時MP回復量的${Lv*5}%。
,,,,,,,remark,此處為總攻擊回復數值。
4,神經控制,"50,70,250",30,5,,,,麻痺造成的ASPD降低效果減輕${Lv*2}%。
5,貓眼,"30,70,220",1,,,,,盲目狀態時，Miss的攻擊有機率升格為Graze。
6,高體溫,"110,230",20,7,75,,,"凍結狀態下進行一般攻擊時, 有${Lv*5}%機率解除凍結狀態。"
7,緊急維修,"130,250",20,7,75,,,"在降防效果中受到的傷害增加時,有${Lv*5}%機率解除降防狀態。"
8,釘鞋,"110,130",10,15,,,,遲緩造成的機動速度降低效果減輕${Lv*5}%。
9,穩如泰山/八風不動,"70,90",10,15,,,,停止狀態下受到傷害時，站立不動則會減輕${Lv*3}%傷害。
10,浴血奮戰,150,20,7,75,,,出血狀態下，一般攻擊的威力與攻擊時MP回復增加${Lv*5}%。
,,,,,,,remark,此處為總攻擊回復數值。
11,睡眠不足,"90,220",5,30,,,,睡眠狀態的持續時間縮短${Lv*10}%。
12,魔力失火,"130,150,220",1,,,,,發動魔力爆發並倖存時，立即回100MP。
13,怪物狩獵,"150,250",10,15,,,,打倒怪物後回復MP100，發動後${30-Lv}秒内無法再度發動。
14,咖啡時間,"130,230",10,15,,,,打倒怪物後回復HP10%，發動後${30-Lv}秒内無法再度發動。
15,修行者,"10,30,50,70,90",10,15,,,,獲得的EXP增加10%，但是給予敵人的傷害降低${15-Lv}%。
,,,,,,,remark,此處傷害計算為獨立乘項，該乘項與托環中降低害類型共用傷害乘區。
16,火力寵物,"110,250",10,15,,,,主人造成的傷害大幅降低，但是寵物造成的傷害增加${Lv*3}%。
,,,,,,,remark,傷害降低30%。
,,,,,,,remark,此處傷害計算為獨立乘項，該乘項與托環中降低害類型共用傷害乘區。
17,肉盾寵物,"90,230",10,15,,,,主人受到的傷害大幅增加，但是寵物受到的傷害降低${Lv*3}%。
18,HP緊急回復,"30,150",10,15,,,,"受到怪物傷害導致剩餘HP降至25%以下時，立即回復HP${10+Lv}%。
發動後，60秒内無法再度發動。"
19,MP緊急回復,"50,150",10,15,,,,"MP不足時，立即回復MP${Lv*10}。
發動後，60秒内無法再度發動。"
20,魔力暴揍,"110,220,230",1,,,,,失去攻擊MP回復的能力，使普通攻擊的威力增加。
,,,,,,,remark,攻擊MP回復每2，通常攻擊倍率+1%。
21,節省技巧,"110,250",10,15,,,,"自動道具發動時，將不會消耗該道具，但道具冷卻時間變為2倍。
發動後，${40-Lv}秒内無法再度發動。"
22,最後的英雄,"90,190",10,15,,,,"除自己以外的隊伍成員全部陣亡時，每1名陣亡隊友，將使自身的HP與MP回復${10+Lv}%。
發動后，300秒内無法再度發動。"
23,怕寂寞,"90,170,220",5,30,,,,"位於隊伍成員附近時，每10秒回復HP100，但若不位於附近時則會失去HP100。
※此處HP消耗不會造成陣亡。"
,,,,,,,remark,範圍界線為${3+Lv}。
24,起跑衝刺,"170,220",5,30,,,,"初次獲得目標怪物的恨意時，${Lv+5}秒內，一般攻擊的冷卻時間變為0。
發動後，60秒內無法再度發動。"
,,,,,,,remark,此處所述為ASPD低於1100時，出現的普通攻擊間隔時間。
25,曬太陽,"10,30,50,70,220",4,37,375,,,使用可增加自然回復的情緒時，MP回復量再增加${25*Lv}%。
,,,,,,,remark,此處增加量為獨立乘項，搭配情緒可達4倍自然回復。
26,命運共同體,"70,190,220",2,75,,,,"為自己以外的每位隊伍成員
增加ATK與MATK各1%,但每當隊伍成員陣亡,將會失去HP${100-Lv}%.
※此處HP消耗會造成陣亡"
,,,,,,,remark,遊戲客戶端內翻譯錯誤，實際效果如下
,,,,,,,remark,"除自己外,每有一位隊伍成員,為自己增加ATK與MATK各1%,但每當隊伍成員陣亡,將會失去HP"
27,最後的抵抗,"50,170,220",5,30,,,,"當你為隊伍最後一名成員時，用盡最後一絲力氣立即復活，但會在${5+Lv}秒後再次陣亡。
※無法使用急救和復活之露重新再戰"
,,,,,,,remark,遊戲內中文敘述為翻譯錯誤。
,,,,,,,remark,當受到致死傷害時，效果立刻生效，並無倒地畫面。
28,隱匿連擊,"170,230",10,60,,,,每一連擊可減少${Lv}恨意值，連擊越長，效果越高。
29,無之架式,"170,250",10,50,,,,"不使用連擊發動的技能傷害變為${100+Lv}%。
※不適用於蓄力技能等部分技能。"
,,,,,,,remark,此處傷害計算為獨立乘項。
30,殿後,"130,230",10,15,,,,(鏡頭面向)後方受到的傷害減輕${Lv}%，若是正後方則效果更好。
31,救世主,220,1,,,,,隊伍全滅後復活，將會獲得10秒無敵狀態。
,,,,,,,remark,此處的無敵狀態不會因為發動攻擊而消滅。
,,,,,,,remark,當隊伍只有一個人的時候無法獲得此狀態。(可能為BUG)
32,恐慌,"150,230",10,15,,,,每3秒回復MP${10+Lv}，但當敵人的恨意指向自己時，將會失去所有MP，且此雷吉斯托環效果停止30秒。
33,轉讓,"150,250",10,15,,,,"MP上限降低${1000/Lv}，但當自己陣亡時，可將剩餘MP分配給隊伍成員。
※受此效果被回復MP的玩家，180秒内無法接受同樣效果。"
34,火之天賦,220,1,,,,,依屬性而變化的技能效果被固定為火屬性之效果。
,,,,,,,remark,例如：龍力充填、法術/長槍等技能效果變更為著火異常。
35,水之天賦,220,1,,,,,依屬性而變化的技能效果被固定為水屬性之效果。
,,,,,,,remark,例如：龍力充填、法術/長槍等技能效果變更為冰凍異常。
36,風之天賦,220,1,,,,,依屬性而變化的技能效果被固定為風屬性之效果。
,,,,,,,remark,例如：龍力充填技能效果變更為停止異常、法術/長槍等技能效果變更為盲目異常。
37,地之天賦,220,1,,,,,依屬性而變化的技能效果被固定為地屬性之效果。
,,,,,,,remark,例如：龍力充填技能效果變更為猛毒異常、法術/長槍等技能效果變更為遲緩異常。
38,緊急救治,220,10,,,,,減少使用急救時所產生的仇恨。
39,納刀移動．消除,230,1,,,,,不再產生納刀移動。
40,光之天賦,230,1,,,,,依屬性而變化的技能效果被固定為光屬性之效果。
,,,,,,,remark,例如：龍力充填技能效果變更為盲目異常、法術/長槍等技能效果變更為眩暈異常。
41,目標申告,230,1,,,,,當恨意值轉向自己時，自動在隊伍聊天頻道中報告。※公會團隊戰時則會在一般(SAY)頻道報告。
42,下班通報,230,1,,,,,當體力不支倒地時，自動在隊伍聊天頻道中報告。※公會團隊戰時則會在一般(SAY)頻道報告。
43,教官,230,10,60,,,,"自身獲得的EXP降至0，但同時隊伍中等級最低的成員獲得的EXP增加${Lv}%。
如果存在多個等級最低的成員，則效果會降低。"
44,治癒之手,230,10,60,,,,使治癒相關的雷吉斯托環的回復量降低緩解${10*Lv}%。
45,鐵拳,230,5,120,,,,"當主手無裝備或是主手裝備拳套時，破防效果發生率增加${Lv}%。
如果為空手(主副手皆無裝備)時，效果提升3倍。"
46,閃躲套裝,250,1,,,,,即使身穿無法使用Avoid的裝備也可以使用Avoid。
,,,,,,,remark,閃躲次數+2。
47,暗之天賦,250,1,,,,,依屬性而變化的技能效果被固定為暗屬性之效果。
,,,,,,,remark,例如：龍力充填技能效果變更為詛咒異常、法術/長槍等技能效果變更為畏懼異常。
48,傷害檢查,250,1,,,,,踩到警告區域時，若敵人的攻擊超過當前HP的50%，則會額外顯示警告訊息。
49,領教領教,250,10,60,,,,自身對敵人的傷害大幅降低，但同時隊伍成員獲得的EXP增加${Lv}%。
,,,,,,,remark,傷害上限變為目標怪物血量的1%。
,,,,,,,remark,但#燃燒、#中毒等異常傷害不受此影響。
50,騎士的直覺,250,5,120,,,,"裝備單手劍時，「看穿」增加${Lv}%。
如果副手裝備為盾時，效果提升3倍。"
51,專屬護衛官,270,10,100,1000,,,當以坦克定位召喚傭兵/夥伴時，該傭兵/夥伴所受的物理/魔法/比例傷害減輕${Lv*3}%。
52,紅區護盾,270,10,100,,,,受到怪物的紅色警告範圍攻擊傷害減少${Lv}%，但是，單體攻擊的傷害將增加10%（副作用）
53,藍區護盾,270,10,100,,,,受到怪物的藍色警告範圍攻擊傷害減少${Lv}%，但是，單體攻擊的傷害將增加10%（副作用）
,,,,,,,,
,,,,,,,,
@skill,,,,,,,,
blade-skills,,,,,,,,
1,威力攻擊．強化,"30,50,70,90,110,130",20,5,,0-0-0,,技能「威力攻擊」的技能倍率增加${Lv*5}。
2,音速斬切．延長,"30,50,70,90,110,130",20,5,,0-0-5,,技能「音速斬切」的蓄勢待發時間延長${Lv}秒。
3,横掃千軍．屬性,"70,90,110,130,150,220",1,,,0-0-2,,技能「橫掃千軍」的火屬性變為裝備武器的屬性。
