,技能名稱,預設,主手裝備,副手裝備,身體裝備,效果編號,效果類別名稱,屬性名稱,屬性值,屬性追加,消耗MP,射程,類型,連擊,動作時間,詠唱/蓄力時間
0,0,武器技能,,,,,,,,,,,,,,
0,1,劍術技能,,,,,,,,,,,,,,
0,威力攻擊,預設,單手劍,,,-,proration,damage,physical,,100,main,瞬發,可以放入連擊,快,
,,,,,,1,damage,constant,50+5*SLv,,,,,,,
,,,,,,,,multiplier,100+5*SLv,,,,,,,
,,,,,,,,multiplier.registlet,5*RLv,,,,,,,
,,,,,,,,ailment_name,膽怯,,,,,,,
,,,,,,,,ailment_chance,50+5*SLv,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,
0,,非預設,雙劍,,,,,,,,,,,,,
0,,非預設,雙手劍,,,1,,multiplier,150+5*SLv,,,,,,,
,,,,,,,,ailment_chance,5*SLv,,,,,,,
1,迅捷攻擊,預設,單手劍,,,-,proration,damage,physical,,100,main,瞬發,可以放入連擊,快,
,,,,,,1,damage,constant,150+5*SLv,,,,,,,
,,,,,,,,multiplier,150+10*SLv,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,
,,,,,,-,extra,motion_speed,5*SLv,~,,,,,,
,,,,,,2,effect,duration,5+5*Math.floor(SLv/6),,,,,,,
,,,,,,,,condition,hit,,,,,,,
,,,,,,,,critical_rate,25,,,,,,,
1,,非預設,雙劍,,,,,,,,,,,,,
1,,非預設,雙手劍,,,1,,multiplier,200+10*SLv,,200,,,,,
,,,,,,2,,critical_rate,50,,,,,,,
2,橫掃千軍,預設,單手劍,,,-,proration,damage,physical,,100*(3-Math.floor(SLv/6)),main,瞬發,可以放入連擊,快,
,,,,,,1,damage,constant,200+10*SLv,,,,,,,
,,,,,,,,multiplier,150+5*SLv,,,,,,,
,,,,,,,,element,fire,,,,,,,
,,,,,,,,element.registlet,none,,,,,,,
,,,,,,,,range_damage,1,,,,,,,
,,,,,,,,action_frame,61~37,,,,,,,
,,,,,,2,extra,caption,此技能傷害#[必定命中]。,,,,,,,
,,,,,,-,text,text,施放成功後，獲得![迅速]效果。,,,,,,,
,,,,,,-,effect,attack_mp_recovery,2*SLv,,,,,,,
,,,,,,,,condition,施放下個技能前,,,,,,,
,,,,,,,,name,迅速,,,,,,,
,,,,,,-,extra,caption,動作時間減少50%,,,,,,,
,,,,,,,,type,next,,,,,,,
