分類,編號,前置技能,技能樹順序
0,0,,
1,0,,SR H3 SR H SR H SR H S L2 E DRB SR H SRB H SR H5 S L SR DB E2 DR H3 SR H S L E DR SR H SRB H S L E4 DR H3 SR H S L SR H SRB H S L E2 DR H3 SR H SR H S L2 E6 S
,0,-,9
,1,0,5
,2,1,6
,3,2,7
,15,3,8
,4,2,10
,16,4,11
,5,0,12
,6,5,13
,7,6,14
,8,6,15
,17,8,16
,9,-,17
,10,9,18
,11,10,19
,12,10,20
,13,12,21
,18,13,22
,14,-,23
,19,-,0
,20,19,1
,21,20,2
,22,21,3
,23,22,4
1,1,,E6 DRB H3 S L E2 DRB H3 SR H5 S L E2 V E6 DRB S L SR DRB SR H SR H3 SR DBR H2 S L E V E7 DR S L E DR SR H SR H SR H SRB H3 S L E8 DR H S L SRB H3 SR H SR H SR H3 S L DRB H9 S L DR H SR H5 S L E6 S
,0,-,4
,1,0,5
,2,1,1
,15,2,2
,16,4,3
,17,4,9
,3,1,6
,4,3,7
,5,0,10
,6,5,11
,7,6,12
,8,7,13
,18,8,14
,19,9,21
,9,-,16
,10,9,22
,11,9,17
,12,11,18
,13,12,19
,14,-,24
,20,4,8
,21,13,20
,22,2,0
,23,8,15
,24,10,23
1,2,,E DRB SR H SR H SR H SRB H S L SR DB E6 DR H3 S L E DR SR H SR H SRB DR SR H S L E6 DR H5 S L SR H3 SR H SR H S L2 SR H3 SR H SR H SR DRB S L E9 V L E6 S E2 DR S
,0,-,5
,1,0,0
,2,1,1
,3,2,2
,4,3,3
,15,4,4
,5,0,7
,6,5,8
,7,6,9
,8,7,10
,16,8,11
,9,-,13
,20,9,14
,21,20,15
,17,7,12
,10,-,17
,11,10,18
,12,11,19
,13,12,20
,18,13,21
,14,-,22
,19,13,23
,22,4,6
,23,21,16
1,3,,E8 DRB H3 S L E DRB SR H SR H SR H SR H S L SR DB E2 DRB H7 S L E DR SR H SR H SRB H SRB H S L E6 V E DR H3 S L E6 DR H3 S L SR H5 SR H SR H3 S L2 SR H3 S L E6 S
,0,-,6
,1,0,1
,2,1,2
,3,2,3
,4,3,4
,15,4,5
,5,0,8
,6,5,9
,7,6,10
,8,7,11
,16,8,12
,17,7,14
,9,-,15
,10,9,16
,11,10,17
,18,11,18
,12,-,19
,13,12,20
,14,-,21
,19,4,0
,20,6,7
,21,8,13
1,4,,E4 DRB H5 S L SR DRB SR H SR H S L E V E7 DRB S L E DRB SR H SR H SR H SR DB L E V E7 DR S L E DRB SR H3 SR H S L E V L E DR SR H SRB H3 SR H S L E4 V E3 DRB H3 S L E4 DR H3 SR H S
,0,-,1
,1,0,2
,2,1,3
,3,2,4
,4,0,6
,5,4,7
,6,5,8
,8,0,11
,9,8,12
,11,0,14
,12,11,15
,7,6,9
,10,9,13
,13,12,16
,14,2,0
,15,7,5
,16,7,10
,17,13,17
,18,19,18
,19,12,19
,20,19,20
1,5,,E4 DRB H3 SR H S L SR DRB SR H SR H S L E V L E DR SRB H3 SR H SR H S L E2 V L E2 DR H SR H SR H SR H S L2 SR H5 SR H3 S L2 SR H3 SR H3 SR H S L E6 S
,0,-,2
,4,2,0
,15,4,1
,1,0,3
,2,1,4
