id,遊戲內名稱,公式,倍率,顯示順序,自訂能力隱藏
str,STR,,1,4,
dex,DEX,,1,4,
int,INT,,1,4,
agi,AGI,,1,4,
vit,VIT,,1,4,
max_hp,HP上限,,1,4,
max_mp,MP上限,$t$s$v,無,4,
natural_hp_regen,HP自然回復,,1,4,
natural_hp_regen_s,HP自然回復,,1,4,1
natural_hp_regen_b,戰時HP回復,,無,4,1
natural_mp_regen,MP自然回復,,1,4,
natural_mp_regen_s,MP自然回復,,1,4,1
natural_mp_regen_b,戰時MP回復,,無,4,1
attack_mp_recovery,攻擊MP回復,,1,4,
atk,ATK,,1,4,
atk_sub,(雙劍)副手ATK,,1,4,1
matk,MATK,,1,4,
weapon_atk,武器ATK,,1,4,
weapon_base_atk,武器基礎ATK,,1,4,1
weapon_range,武器攻擊距離,$t$s$1dm,無,1,
physical_pierce,物理貫穿,,無,4,
magic_pierce,魔法貫穿,,無,4,
def,DEF,,1,4,
mdef,MDEF,,1,4,
stability,穩定率,,無,4,
stability_main,穩定率,,無,4,1
stability_magic,魔法穩定率,,無,4,1
physical_resistance,物理抗性,,無,4,
magic_resistance,魔法抗性,,無,4,
accuracy,命中,,1,4,
dodge,迴避,,1,4,
aspd,攻擊速度,,1,4,
cspd,詠唱速度,,1,4,
critical_rate,暴擊率,,1,4,
critical_damage,暴擊傷害,,1,4,
critical_damage_skill,暴擊傷害,,1,4,1
motion_speed,行動速度,,無,5,
movement_speed,移動速度,,無,5,1
unsheathe_attack,拔刀攻擊,$t$s$v,無,5,
unsheathe_attack_multiplier,拔刀攻擊,,無,5,
short_range_damage,近距離威力,,無,5,
long_range_damage,遠距離威力,,無,5,
total_damage_A,總傷害,,無,11,dev
total_damage_B,最終傷害,,無,11,dev
ailment_resistance,異常抗性,,無,5,
guard_rate,阻擋率,,無,5,1
guard_regenerate,阻擋回復,,無,5,
guard_power,阻擋力,,無,5,
evasion_rate,閃躲率,,無,5,1
evasion_regenerate,閃躲回復,,無,5,
evasion_count,閃躲次數上限,$t$s$v,無,5,1
aggro,恨意值,,無,4,
revive_time,復活時間,,無,10,
drop_rate,掉寶率,,無,10,
stronger_against_neutral,對無屬性傷害,,無,3,
stronger_against_fire,對火屬性傷害,,無,3,
stronger_against_water,對水屬性傷害,,無,3,
stronger_against_earth,對地屬性傷害,,無,3,
stronger_against_wind,對風屬性傷害,,無,3,
stronger_against_light,對光屬性傷害,,無,3,
stronger_against_dark,對暗屬性傷害,,無,3,
stronger_against_weaker_element,對弱點屬性傷害,,無,3,1
neutral_resistance,抗無屬性,,無,4,
fire_resistance,抗火屬性,,無,4,
water_resistance,抗水屬性,,無,4,
earth_resistance,抗地屬性,,無,4,
wind_resistance,抗風屬性,,無,4,
light_resistance,抗光屬性,,無,4,
dark_resistance,抗暗屬性,,無,4,
physical_barrier,物理屏障,$t$s$v,無,5,
magical_barrier,魔法屏障,$t$s$v,無,5,
fractional_barrier,百分比屏障,,無,5,
barrier_cooldown,屏障速度,,無,5,
reflect,反彈傷害,,無,5,
additional_meele,物理追擊,$t$v$u,無,5,
additional_magic,魔法追擊,$t$v$u,無,5,
anticipate,看穿,$t$v$u,無,5,
